Chromosome	Strand	Start	End	Dominant	Signal	Rank	rep 1	rep 2	rep 3
chr	+	297251	297259	297257	1.0	1	0.0	0.0	0.0
chr	+	4528109	4528117	4528115	1.0	17	0.0	0.0	0.0
chr	-	3811196	3811205	3811196	1.0	30	7.287667586899645e-14	0.0	5.346349840253096e-34
chr	-	3470087	3470096	3470088	1.0	29	0.0	0.0	0.0
chr	-	3311283	3311290	3311283	1.0	28	0.0	0.0	0.0
chr	-	2924157	2924165	2924159	1.0	27	0.0	0.0	0.0
chr	-	2744120	2744128	2744121	1.0	26	0.0	0.0	0.0
chr	-	2311599	2311608	2311599	1.0	25	0.0	0.0	0.0
chr	-	2025218	2025226	2025218	1.0	24	0.0	0.0	0.0
chr	-	1991742	1991750	1991742	1.0	23	0.0	0.0	4.321794767069672e-08
chr	-	1907148	1907156	1907148	1.0	22	0.0	0.0	0.0
chr	-	1799351	1799360	1799351	1.0	21	0.0	3.5550249185416934e-36	1.8487284174799046e-20
chr	-	1203744	1203754	1203746	1.0	20	0.0	7.938957922523218e-18	1.6544092043606186e-16
chr	-	696391	696400	696392	1.0	19	4.321794767069672e-08	9.605186529209925e-07	0.0
chr	+	461781	461789	461787	1.0	2	0.0	0.0	0.0
chr	-	20757	20767	20758	1.0	18	0.0	0.0	0.0
chr	+	4426604	4426613	4426611	1.0	16	1.050667283696181e-18	0.0	0.0
chr	+	1757700	1757710	1757707	1.0	8	0.0	0.0	0.0
chr	+	507284	507292	507290	1.0	3	0.0	0.0	0.0
chr	+	586098	586106	586104	1.0	4	0.0	0.0	0.0
chr	+	639666	639673	639671	1.0	5	0.0	0.0	0.0
chr	+	657543	657553	657551	1.0	6	0.0	5.273301251396974e-44	6.0593596751238655e-62
chr	+	4127263	4127272	4127269	1.0	15	0.0	2.0146565490158932e-13	0.0
chr	+	851008	851017	851014	1.0	7	0.0	0.0	0.0
chr	+	2044743	2044751	2044749	1.0	9	0.0	3.409214977720511e-07	0.0
chr	+	2466380	2466391	2466389	1.0	10	0.0	1.8647781087492272e-128	0.0
chr	+	2942896	2942906	2942904	1.0	11		2.2006293417059163e-31	2.4873639438186485e-28
chr	+	2947711	2947720	2947718	1.0	12	0.0	0.0	0.0
chr	+	3947064	3947073	3947071	1.0	13	7.760019621704661e-25	4.794224075294801e-47	1.434469440536717e-43
chr	+	3948446	3948454	3948451	1.0	14	0.0	0.0	0.0
chr	+	476558	476569	476563	0.9991830065359477	31			0.0
chr	+	3720312	3720321	3720315	0.9990421455938697	32	0.0	9.292106489827545e-292	0.0
chr	-	1992033	1992045	1992038	0.9989343801998803	33	0.0	0.0	0.0
chr	-	1097558	1097568	1097561	0.9988484299794131	34			0.0
chr	-	925877	925887	925881	0.9986838770306874	35	0.0	0.0	
chr	+	4050003	4050013	4050007	0.9985778458608484	36			
chr	+	564796	564808	564801	0.9984737213496068	37		0.0	0.0
chr	-	1287235	1287247	1287240	0.9982800511226566	38	0.0		
chr	+	4392655	4392668	4392661	0.9974503833327492	39	0.0	0.0	0.0
chr	-	3423571	3423583	3423575	0.9969577320359292	40		0.0	
chr	+	229001	229014	229007	0.9969073914763417	41	0.0	0.0	0.0
chr	+	3056163	3056175	3056169	0.9968738682054941	42	0.0	0.0	0.0
chr	-	3708609	3708619	3708613	0.9966336809793891	43	0.0	0.0	0.0
chr	+	4175553	4175565	4175558	0.9965976124770016	44		0.0	0.0
chr	+	2286284	2286297	2286290	0.9961396865627469	45	0.0	0.0	
